Area,Area.1,Area.2,Price,Change,Equi to US$,Price Chart,date
Northeast China,Heilongjiang,Harbin,14000.0,0.0,2022,,2023-01-03
Northeast China,Jilin,Changchun,13950.0,0.0,2014,,2023-01-03
Northeast China,Liaoning,Shengyang,13900.0,0.0,2007,,2023-01-03
Northeast China,Liaoning,Dalian,13800.0,0.0,1993,,2023-01-03
North China,Hebei,Shijiazhuang,13800.0,0.0,1993,,2023-01-03
North China,Henan,Zhengzhou,13800.0,0.0,1993,,2023-01-03
North China,Shandong,Qingdao,13800.0,0.0,1993,,2023-01-03
North China,Tianjin,Tianjin,13800.0,0.0,1993,,2023-01-03
Central China,Hubei,Wuhan,13800.0,0.0,1993,,2023-01-03
Central China,Jiangxi,Nanchang,13800.0,0.0,1993,,2023-01-03
East China,Anhui,Hefei,13800.0,0.0,1993,,2023-01-03
East China,Jiangsu,Nanjing,13800.0,0.0,1993,,2023-01-03
East China,Shanghai,Shanghai,13800.0,0.0,1993,,2023-01-03
East China,Zhejiang,Ningbo,13800.0,0.0,1993,,2023-01-03
Northwest China,Gansu,Lanzhou,14300.0,0.0,2065,,2023-01-03
Northwest China,Xinjiang,Urumqi,14400.0,0.0,2079,,2023-01-03
South China,Fujian,FUzhou,13800.0,0.0,1993,,2023-01-03
South China,Guangdong,Zhanjiang,13800.0,0.0,1993,,2023-01-03
South China,Guangdong,Huangpu,13800.0,0.0,1993,,2023-01-03
South China,Guangxi,Fangcheng,13800.0,0.0,1993,,2023-01-03
South China,Guangxi,Nanning,13800.0,0.0,1993,,2023-01-03
Southwest China,Sichuan,Chengdu,13900.0,0.0,2007,,2023-01-03
Southwest China,Yunnan,Kunming,14300.0,0.0,2065,,2023-01-03
Northeast China,Heilongjiang,Harbin,14000.0,0.0,2022,,2023-01-04
Northeast China,Jilin,Changchun,13950.0,0.0,2015,,2023-01-04
Northeast China,Liaoning,Shengyang,13900.0,0.0,2008,,2023-01-04
Northeast China,Liaoning,Dalian,13800.0,0.0,1993,,2023-01-04
North China,Hebei,Shijiazhuang,13800.0,0.0,1993,,2023-01-04
North China,Henan,Zhengzhou,13800.0,0.0,1993,,2023-01-04
North China,Shandong,Qingdao,13800.0,0.0,1993,,2023-01-04
North China,Tianjin,Tianjin,13800.0,0.0,1993,,2023-01-04
Central China,Hubei,Wuhan,13800.0,0.0,1993,,2023-01-04
Central China,Jiangxi,Nanchang,13800.0,0.0,1993,,2023-01-04
East China,Anhui,Hefei,13800.0,0.0,1993,,2023-01-04
East China,Jiangsu,Nanjing,13800.0,0.0,1993,,2023-01-04
East China,Shanghai,Shanghai,13800.0,0.0,1993,,2023-01-04
East China,Zhejiang,Ningbo,13800.0,0.0,1993,,2023-01-04
Northwest China,Gansu,Lanzhou,14300.0,0.0,2065,,2023-01-04
Northwest China,Xinjiang,Urumqi,14400.0,0.0,2080,,2023-01-04
South China,Fujian,FUzhou,13800.0,0.0,1993,,2023-01-04
South China,Guangdong,Zhanjiang,13800.0,0.0,1993,,2023-01-04
South China,Guangdong,Huangpu,13800.0,0.0,1993,,2023-01-04
South China,Guangxi,Fangcheng,13800.0,0.0,1993,,2023-01-04
South China,Guangxi,Nanning,13800.0,0.0,1993,,2023-01-04
Southwest China,Sichuan,Chengdu,13900.0,0.0,2008,,2023-01-04
Southwest China,Yunnan,Kunming,14300.0,0.0,2065,,2023-01-04
Northeast China,Heilongjiang,Harbin,14000.0,0.0,2029,,2023-01-05
Northeast China,Jilin,Changchun,13950.0,0.0,2022,,2023-01-05
Northeast China,Liaoning,Shengyang,13900.0,0.0,2015,,2023-01-05
Northeast China,Liaoning,Dalian,13800.0,0.0,2000,,2023-01-05
North China,Hebei,Shijiazhuang,13800.0,0.0,2000,,2023-01-05
North China,Henan,Zhengzhou,13600.0,-200.0,1971,,2023-01-05
North China,Shandong,Qingdao,13600.0,-200.0,1971,,2023-01-05
North China,Tianjin,Tianjin,13800.0,0.0,2000,,2023-01-05
Central China,Hubei,Wuhan,13600.0,-200.0,1971,,2023-01-05
Central China,Jiangxi,Nanchang,13600.0,-200.0,1971,,2023-01-05
East China,Anhui,Hefei,13600.0,-200.0,1971,,2023-01-05
East China,Jiangsu,Nanjing,13600.0,-200.0,1971,,2023-01-05
East China,Shanghai,Shanghai,13600.0,-200.0,1971,,2023-01-05
East China,Zhejiang,Ningbo,13600.0,-200.0,1971,,2023-01-05
Northwest China,Gansu,Lanzhou,14100.0,-200.0,2044,,2023-01-05
Northwest China,Xinjiang,Urumqi,14200.0,-200.0,2058,,2023-01-05
South China,Fujian,FUzhou,13600.0,-200.0,1971,,2023-01-05
South China,Guangdong,Zhanjiang,13600.0,-200.0,1971,,2023-01-05
South China,Guangdong,Huangpu,13600.0,-200.0,1971,,2023-01-05
South China,Guangxi,Fangcheng,13600.0,-200.0,1971,,2023-01-05
South China,Guangxi,Nanning,13600.0,-200.0,1971,,2023-01-05
Southwest China,Sichuan,Chengdu,13700.0,-200.0,1986,,2023-01-05
Southwest China,Yunnan,Kunming,14100.0,-200.0,2044,,2023-01-05
Northeast China,Heilongjiang,Harbin,14000.0,0.0,2032,,2023-01-06
Northeast China,Jilin,Changchun,13950.0,0.0,2025,,2023-01-06
Northeast China,Liaoning,Shengyang,13900.0,0.0,2018,,2023-01-06
Northeast China,Liaoning,Dalian,13800.0,0.0,2003,,2023-01-06
North China,Hebei,Shijiazhuang,13800.0,0.0,2003,,2023-01-06
North China,Henan,Zhengzhou,13600.0,0.0,1974,,2023-01-06
North China,Shandong,Qingdao,13600.0,0.0,1974,,2023-01-06
North China,Tianjin,Tianjin,13800.0,0.0,2003,,2023-01-06
Central China,Hubei,Wuhan,13600.0,0.0,1974,,2023-01-06
Central China,Jiangxi,Nanchang,13600.0,0.0,1974,,2023-01-06
East China,Anhui,Hefei,13600.0,0.0,1974,,2023-01-06
East China,Jiangsu,Nanjing,13600.0,0.0,1974,,2023-01-06
East China,Shanghai,Shanghai,13600.0,0.0,1974,,2023-01-06
East China,Zhejiang,Ningbo,13600.0,0.0,1974,,2023-01-06
Northwest China,Gansu,Lanzhou,14100.0,0.0,2047,,2023-01-06
Northwest China,Xinjiang,Urumqi,14200.0,0.0,2061,,2023-01-06
South China,Fujian,FUzhou,13600.0,0.0,1974,,2023-01-06
South China,Guangdong,Zhanjiang,13600.0,0.0,1974,,2023-01-06
South China,Guangdong,Huangpu,13600.0,0.0,1974,,2023-01-06
South China,Guangxi,Fangcheng,13600.0,0.0,1974,,2023-01-06
South China,Guangxi,Nanning,13600.0,0.0,1974,,2023-01-06
Southwest China,Sichuan,Chengdu,13700.0,0.0,1989,,2023-01-06
Southwest China,Yunnan,Kunming,14100.0,0.0,2047,,2023-01-06
Northeast China,Heilongjiang,Harbin,14000.0,0.0,2049,,2023-01-09
Northeast China,Jilin,Changchun,13950.0,0.0,2042,,2023-01-09
Northeast China,Liaoning,Shengyang,13900.0,0.0,2035,,2023-01-09
Northeast China,Liaoning,Dalian,13800.0,0.0,2020,,2023-01-09
North China,Hebei,Shijiazhuang,13800.0,0.0,2020,,2023-01-09
North China,Henan,Zhengzhou,13600.0,0.0,1991,,2023-01-09
North China,Shandong,Qingdao,13600.0,0.0,1991,,2023-01-09
North China,Tianjin,Tianjin,13800.0,0.0,2020,,2023-01-09
Central China,Hubei,Wuhan,13600.0,0.0,1991,,2023-01-09
Central China,Jiangxi,Nanchang,13600.0,0.0,1991,,2023-01-09
East China,Anhui,Hefei,13600.0,0.0,1991,,2023-01-09
East China,Jiangsu,Nanjing,13600.0,0.0,1991,,2023-01-09
East China,Shanghai,Shanghai,13600.0,0.0,1991,,2023-01-09
East China,Zhejiang,Ningbo,13600.0,0.0,1991,,2023-01-09
Northwest China,Gansu,Lanzhou,14100.0,0.0,2064,,2023-01-09
Northwest China,Xinjiang,Urumqi,14200.0,0.0,2079,,2023-01-09
South China,Fujian,FUzhou,13600.0,0.0,1991,,2023-01-09
South China,Guangdong,Zhanjiang,13600.0,0.0,1991,,2023-01-09
South China,Guangdong,Huangpu,13600.0,0.0,1991,,2023-01-09
South China,Guangxi,Fangcheng,13600.0,0.0,1991,,2023-01-09
South China,Guangxi,Nanning,13600.0,0.0,1991,,2023-01-09
Southwest China,Sichuan,Chengdu,13700.0,0.0,2006,,2023-01-09
Southwest China,Yunnan,Kunming,14100.0,0.0,2064,,2023-01-09
Northeast China,Heilongjiang,Harbin,14000.0,0.0,2064,,2023-01-10
Northeast China,Jilin,Changchun,13950.0,0.0,2057,,2023-01-10
Northeast China,Liaoning,Shengyang,13900.0,0.0,2049,,2023-01-10
Northeast China,Liaoning,Dalian,13800.0,0.0,2034,,2023-01-10
North China,Hebei,Shijiazhuang,13800.0,0.0,2034,,2023-01-10
North China,Henan,Zhengzhou,13600.0,0.0,2005,,2023-01-10
North China,Shandong,Qingdao,13600.0,0.0,2005,,2023-01-10
North China,Tianjin,Tianjin,13800.0,0.0,2034,,2023-01-10
Central China,Hubei,Wuhan,13600.0,0.0,2005,,2023-01-10
Central China,Jiangxi,Nanchang,13600.0,0.0,2005,,2023-01-10
East China,Anhui,Hefei,13600.0,0.0,2005,,2023-01-10
East China,Jiangsu,Nanjing,13600.0,0.0,2005,,2023-01-10
East China,Shanghai,Shanghai,13600.0,0.0,2005,,2023-01-10
East China,Zhejiang,Ningbo,13600.0,0.0,2005,,2023-01-10
Northwest China,Gansu,Lanzhou,14100.0,0.0,2079,,2023-01-10
Northwest China,Xinjiang,Urumqi,14200.0,0.0,2093,,2023-01-10
South China,Fujian,FUzhou,13600.0,0.0,2005,,2023-01-10
South China,Guangdong,Zhanjiang,13600.0,0.0,2005,,2023-01-10
South China,Guangdong,Huangpu,13600.0,0.0,2005,,2023-01-10
South China,Guangxi,Fangcheng,13600.0,0.0,2005,,2023-01-10
South China,Guangxi,Nanning,13600.0,0.0,2005,,2023-01-10
Southwest China,Sichuan,Chengdu,13700.0,0.0,2020,,2023-01-10
Southwest China,Yunnan,Kunming,14100.0,0.0,2079,,2023-01-10
Northeast China,Heilongjiang,Harbin,13900.0,-100.0,2049,,2023-01-11
Northeast China,Jilin,Changchun,13850.0,-100.0,2041,,2023-01-11
Northeast China,Liaoning,Shengyang,13800.0,-100.0,2034,,2023-01-11
Northeast China,Liaoning,Dalian,13700.0,-100.0,2019,,2023-01-11
North China,Hebei,Shijiazhuang,13800.0,0.0,2034,,2023-01-11
North China,Henan,Zhengzhou,13600.0,0.0,2004,,2023-01-11
North China,Shandong,Qingdao,13600.0,0.0,2004,,2023-01-11
North China,Tianjin,Tianjin,13800.0,0.0,2034,,2023-01-11
Central China,Hubei,Wuhan,13600.0,0.0,2004,,2023-01-11
Central China,Jiangxi,Nanchang,13600.0,0.0,2004,,2023-01-11
East China,Anhui,Hefei,13600.0,0.0,2004,,2023-01-11
East China,Jiangsu,Nanjing,13600.0,0.0,2004,,2023-01-11
East China,Shanghai,Shanghai,13600.0,0.0,2004,,2023-01-11
East China,Zhejiang,Ningbo,13600.0,0.0,2004,,2023-01-11
Northwest China,Gansu,Lanzhou,14100.0,0.0,2078,,2023-01-11
Northwest China,Xinjiang,Urumqi,14200.0,0.0,2093,,2023-01-11
South China,Fujian,FUzhou,13600.0,0.0,2004,,2023-01-11
South China,Guangdong,Zhanjiang,13600.0,0.0,2004,,2023-01-11
South China,Guangdong,Huangpu,13600.0,0.0,2004,,2023-01-11
South China,Guangxi,Fangcheng,13600.0,0.0,2004,,2023-01-11
South China,Guangxi,Nanning,13600.0,0.0,2004,,2023-01-11
Southwest China,Sichuan,Chengdu,13700.0,0.0,2019,,2023-01-11
Southwest China,Yunnan,Kunming,14100.0,0.0,2078,,2023-01-11
Northeast China,Heilongjiang,Harbin,13900.0,0.0,2053,,2023-01-12
Northeast China,Jilin,Changchun,13850.0,0.0,2046,,2023-01-12
Northeast China,Liaoning,Shengyang,13800.0,0.0,2039,,2023-01-12
Northeast China,Liaoning,Dalian,13700.0,0.0,2024,,2023-01-12
North China,Hebei,Shijiazhuang,13800.0,0.0,2039,,2023-01-12
North China,Henan,Zhengzhou,13600.0,0.0,2009,,2023-01-12
North China,Shandong,Qingdao,13600.0,0.0,2009,,2023-01-12
North China,Tianjin,Tianjin,13800.0,0.0,2039,,2023-01-12
Central China,Hubei,Wuhan,13600.0,0.0,2009,,2023-01-12
Central China,Jiangxi,Nanchang,13600.0,0.0,2009,,2023-01-12
East China,Anhui,Hefei,13600.0,0.0,2009,,2023-01-12
East China,Jiangsu,Nanjing,13600.0,0.0,2009,,2023-01-12
East China,Shanghai,Shanghai,13600.0,0.0,2009,,2023-01-12
East China,Zhejiang,Ningbo,13600.0,0.0,2009,,2023-01-12
Northwest China,Gansu,Lanzhou,14100.0,0.0,2083,,2023-01-12
Northwest China,Xinjiang,Urumqi,14200.0,0.0,2098,,2023-01-12
South China,Fujian,FUzhou,13600.0,0.0,2009,,2023-01-12
South China,Guangdong,Zhanjiang,13600.0,0.0,2009,,2023-01-12
South China,Guangdong,Huangpu,13600.0,0.0,2009,,2023-01-12
South China,Guangxi,Fangcheng,13600.0,0.0,2009,,2023-01-12
South China,Guangxi,Nanning,13600.0,0.0,2009,,2023-01-12
Southwest China,Sichuan,Chengdu,13700.0,0.0,2024,,2023-01-12
Southwest China,Yunnan,Kunming,14100.0,0.0,2083,,2023-01-12
Northeast China,Heilongjiang,Harbin,13900.0,0.0,2066,,2023-01-13
Northeast China,Jilin,Changchun,13850.0,0.0,2059,,2023-01-13
Northeast China,Liaoning,Shengyang,13800.0,0.0,2052,,2023-01-13
Northeast China,Liaoning,Dalian,13700.0,0.0,2037,,2023-01-13
North China,Hebei,Shijiazhuang,13800.0,0.0,2052,,2023-01-13
North China,Henan,Zhengzhou,13600.0,0.0,2022,,2023-01-13
North China,Shandong,Qingdao,13600.0,0.0,2022,,2023-01-13
North China,Tianjin,Tianjin,13800.0,0.0,2052,,2023-01-13
Central China,Hubei,Wuhan,13600.0,0.0,2022,,2023-01-13
Central China,Jiangxi,Nanchang,13600.0,0.0,2022,,2023-01-13
East China,Anhui,Hefei,13600.0,0.0,2022,,2023-01-13
East China,Jiangsu,Nanjing,13600.0,0.0,2022,,2023-01-13
East China,Shanghai,Shanghai,13600.0,0.0,2022,,2023-01-13
East China,Zhejiang,Ningbo,13600.0,0.0,2022,,2023-01-13
Northwest China,Gansu,Lanzhou,14100.0,0.0,2096,,2023-01-13
Northwest China,Xinjiang,Urumqi,14200.0,0.0,2111,,2023-01-13
South China,Fujian,FUzhou,13600.0,0.0,2022,,2023-01-13
South China,Guangdong,Zhanjiang,13600.0,0.0,2022,,2023-01-13
South China,Guangdong,Huangpu,13600.0,0.0,2022,,2023-01-13
South China,Guangxi,Fangcheng,13600.0,0.0,2022,,2023-01-13
South China,Guangxi,Nanning,13600.0,0.0,2022,,2023-01-13
Southwest China,Sichuan,Chengdu,13700.0,0.0,2037,,2023-01-13
Southwest China,Yunnan,Kunming,14100.0,0.0,2096,,2023-01-13
Northeast China,Heilongjiang,Harbin,13900.0,0.0,2073,,2023-01-16
Northeast China,Jilin,Changchun,13850.0,0.0,2065,,2023-01-16
Northeast China,Liaoning,Shengyang,13800.0,0.0,2058,,2023-01-16
Northeast China,Liaoning,Dalian,13700.0,0.0,2043,,2023-01-16
North China,Hebei,Shijiazhuang,13800.0,0.0,2058,,2023-01-16
North China,Henan,Zhengzhou,13600.0,0.0,2028,,2023-01-16
North China,Shandong,Qingdao,13600.0,0.0,2028,,2023-01-16
North China,Tianjin,Tianjin,13800.0,0.0,2058,,2023-01-16
Central China,Hubei,Wuhan,13600.0,0.0,2028,,2023-01-16
Central China,Jiangxi,Nanchang,13600.0,0.0,2028,,2023-01-16
East China,Anhui,Hefei,13600.0,0.0,2028,,2023-01-16
East China,Jiangsu,Nanjing,13600.0,0.0,2028,,2023-01-16
East China,Shanghai,Shanghai,13600.0,0.0,2028,,2023-01-16
East China,Zhejiang,Ningbo,13600.0,0.0,2028,,2023-01-16
Northwest China,Gansu,Lanzhou,14100.0,0.0,2102,,2023-01-16
Northwest China,Xinjiang,Urumqi,14200.0,0.0,2117,,2023-01-16
South China,Fujian,FUzhou,13600.0,0.0,2028,,2023-01-16
South China,Guangdong,Zhanjiang,13600.0,0.0,2028,,2023-01-16
South China,Guangdong,Huangpu,13600.0,0.0,2028,,2023-01-16
South China,Guangxi,Fangcheng,13600.0,0.0,2028,,2023-01-16
South China,Guangxi,Nanning,13600.0,0.0,2028,,2023-01-16
Southwest China,Sichuan,Chengdu,13700.0,0.0,2043,,2023-01-16
Southwest China,Yunnan,Kunming,14100.0,0.0,2102,,2023-01-16
Northeast China,Heilongjiang,Harbin,13900.0,0.0,2061,,2023-01-17
Northeast China,Jilin,Changchun,13850.0,0.0,2054,,2023-01-17
Northeast China,Liaoning,Shengyang,13800.0,0.0,2047,,2023-01-17
Northeast China,Liaoning,Dalian,13700.0,0.0,2032,,2023-01-17
North China,Hebei,Shijiazhuang,13800.0,0.0,2047,,2023-01-17
North China,Henan,Zhengzhou,13600.0,0.0,2017,,2023-01-17
North China,Shandong,Qingdao,13600.0,0.0,2017,,2023-01-17
North China,Tianjin,Tianjin,13800.0,0.0,2047,,2023-01-17
Central China,Hubei,Wuhan,13600.0,0.0,2017,,2023-01-17
Central China,Jiangxi,Nanchang,13600.0,0.0,2017,,2023-01-17
East China,Anhui,Hefei,13600.0,0.0,2017,,2023-01-17
East China,Jiangsu,Nanjing,13600.0,0.0,2017,,2023-01-17
East China,Shanghai,Shanghai,13600.0,0.0,2017,,2023-01-17
East China,Zhejiang,Ningbo,13600.0,0.0,2017,,2023-01-17
Northwest China,Gansu,Lanzhou,14100.0,0.0,2091,,2023-01-17
Northwest China,Xinjiang,Urumqi,14200.0,0.0,2106,,2023-01-17
South China,Fujian,FUzhou,13600.0,0.0,2017,,2023-01-17
South China,Guangdong,Zhanjiang,13600.0,0.0,2017,,2023-01-17
South China,Guangdong,Huangpu,13600.0,0.0,2017,,2023-01-17
South China,Guangxi,Fangcheng,13600.0,0.0,2017,,2023-01-17
South China,Guangxi,Nanning,13600.0,0.0,2017,,2023-01-17
Southwest China,Sichuan,Chengdu,13700.0,0.0,2032,,2023-01-17
Southwest China,Yunnan,Kunming,14100.0,0.0,2091,,2023-01-17
Northeast China,Heilongjiang,Harbin,13900.0,0.0,2053,,2023-01-18
Northeast China,Jilin,Changchun,13850.0,0.0,2046,,2023-01-18
Northeast China,Liaoning,Shengyang,13800.0,0.0,2038,,2023-01-18
Northeast China,Liaoning,Dalian,13700.0,0.0,2024,,2023-01-18
North China,Hebei,Shijiazhuang,13800.0,0.0,2038,,2023-01-18
North China,Henan,Zhengzhou,13600.0,0.0,2009,,2023-01-18
North China,Shandong,Qingdao,13600.0,0.0,2009,,2023-01-18
North China,Tianjin,Tianjin,13800.0,0.0,2038,,2023-01-18
Central China,Hubei,Wuhan,13600.0,0.0,2009,,2023-01-18
Central China,Jiangxi,Nanchang,13600.0,0.0,2009,,2023-01-18
East China,Anhui,Hefei,13600.0,0.0,2009,,2023-01-18
East China,Jiangsu,Nanjing,13600.0,0.0,2009,,2023-01-18
East China,Shanghai,Shanghai,13600.0,0.0,2009,,2023-01-18
East China,Zhejiang,Ningbo,13600.0,0.0,2009,,2023-01-18
Northwest China,Gansu,Lanzhou,14100.0,0.0,2083,,2023-01-18
Northwest China,Xinjiang,Urumqi,14200.0,0.0,2098,,2023-01-18
South China,Fujian,FUzhou,13600.0,0.0,2009,,2023-01-18
South China,Guangdong,Zhanjiang,13600.0,0.0,2009,,2023-01-18
South China,Guangdong,Huangpu,13600.0,0.0,2009,,2023-01-18
South China,Guangxi,Fangcheng,13600.0,0.0,2009,,2023-01-18
South China,Guangxi,Nanning,13600.0,0.0,2009,,2023-01-18
Southwest China,Sichuan,Chengdu,13700.0,0.0,2024,,2023-01-18
Southwest China,Yunnan,Kunming,14100.0,0.0,2083,,2023-01-18
Northeast China,Heilongjiang,Harbin,13900.0,0.0,2053,,2023-01-19
Northeast China,Jilin,Changchun,13850.0,0.0,2046,,2023-01-19
Northeast China,Liaoning,Shengyang,13800.0,0.0,2039,,2023-01-19
Northeast China,Liaoning,Dalian,13700.0,0.0,2024,,2023-01-19
North China,Hebei,Shijiazhuang,13800.0,0.0,2039,,2023-01-19
North China,Henan,Zhengzhou,13600.0,0.0,2009,,2023-01-19
North China,Shandong,Qingdao,13600.0,0.0,2009,,2023-01-19
North China,Tianjin,Tianjin,13800.0,0.0,2039,,2023-01-19
Central China,Hubei,Wuhan,13600.0,0.0,2009,,2023-01-19
Central China,Jiangxi,Nanchang,13600.0,0.0,2009,,2023-01-19
East China,Anhui,Hefei,13600.0,0.0,2009,,2023-01-19
East China,Jiangsu,Nanjing,13600.0,0.0,2009,,2023-01-19
East China,Shanghai,Shanghai,13600.0,0.0,2009,,2023-01-19
East China,Zhejiang,Ningbo,13600.0,0.0,2009,,2023-01-19
Northwest China,Gansu,Lanzhou,14100.0,0.0,2083,,2023-01-19
Northwest China,Xinjiang,Urumqi,14200.0,0.0,2098,,2023-01-19
South China,Fujian,FUzhou,13600.0,0.0,2009,,2023-01-19
South China,Guangdong,Zhanjiang,13600.0,0.0,2009,,2023-01-19
South China,Guangdong,Huangpu,13600.0,0.0,2009,,2023-01-19
South China,Guangxi,Fangcheng,13600.0,0.0,2009,,2023-01-19
South China,Guangxi,Nanning,13600.0,0.0,2009,,2023-01-19
Southwest China,Sichuan,Chengdu,13700.0,0.0,2024,,2023-01-19
Southwest China,Yunnan,Kunming,14100.0,0.0,2083,,2023-01-19
Northeast China,Heilongjiang,Harbin,13900.0,0.0,2053,,2023-01-20
Northeast China,Jilin,Changchun,13850.0,0.0,2045,,2023-01-20
Northeast China,Liaoning,Shengyang,13800.0,0.0,2038,,2023-01-20
Northeast China,Liaoning,Dalian,13700.0,0.0,2023,,2023-01-20
North China,Hebei,Shijiazhuang,13800.0,0.0,2038,,2023-01-20
North China,Henan,Zhengzhou,13600.0,0.0,2009,,2023-01-20
North China,Shandong,Qingdao,13600.0,0.0,2009,,2023-01-20
North China,Tianjin,Tianjin,13800.0,0.0,2038,,2023-01-20
Central China,Hubei,Wuhan,13600.0,0.0,2009,,2023-01-20
Central China,Jiangxi,Nanchang,13600.0,0.0,2009,,2023-01-20
East China,Anhui,Hefei,13600.0,0.0,2009,,2023-01-20
East China,Jiangsu,Nanjing,13600.0,0.0,2009,,2023-01-20
East China,Shanghai,Shanghai,13600.0,0.0,2009,,2023-01-20
East China,Zhejiang,Ningbo,13600.0,0.0,2009,,2023-01-20
Northwest China,Gansu,Lanzhou,14100.0,0.0,2082,,2023-01-20
Northwest China,Xinjiang,Urumqi,14200.0,0.0,2097,,2023-01-20
South China,Fujian,FUzhou,13600.0,0.0,2009,,2023-01-20
South China,Guangdong,Zhanjiang,13600.0,0.0,2009,,2023-01-20
South China,Guangdong,Huangpu,13600.0,0.0,2009,,2023-01-20
South China,Guangxi,Fangcheng,13600.0,0.0,2009,,2023-01-20
South China,Guangxi,Nanning,13600.0,0.0,2009,,2023-01-20
Southwest China,Sichuan,Chengdu,13700.0,0.0,2023,,2023-01-20
Southwest China,Yunnan,Kunming,14100.0,0.0,2082,,2023-01-20
Northeast China,Heilongjiang,Harbin,13900.0,0.0,2064,,2023-01-28
Northeast China,Jilin,Changchun,13850.0,0.0,2056,,2023-01-28
Northeast China,Liaoning,Shengyang,13800.0,0.0,2049,,2023-01-28
Northeast China,Liaoning,Dalian,13700.0,0.0,2034,,2023-01-28
North China,Hebei,Shijiazhuang,13800.0,0.0,2049,,2023-01-28
North China,Henan,Zhengzhou,13600.0,0.0,2019,,2023-01-28
North China,Shandong,Qingdao,13600.0,0.0,2019,,2023-01-28
North China,Tianjin,Tianjin,13800.0,0.0,2049,,2023-01-28
Central China,Hubei,Wuhan,13600.0,0.0,2019,,2023-01-28
Central China,Jiangxi,Nanchang,13600.0,0.0,2019,,2023-01-28
East China,Anhui,Hefei,13600.0,0.0,2019,,2023-01-28
East China,Jiangsu,Nanjing,13600.0,0.0,2019,,2023-01-28
East China,Shanghai,Shanghai,13600.0,0.0,2019,,2023-01-28
East China,Zhejiang,Ningbo,13600.0,0.0,2019,,2023-01-28
Northwest China,Gansu,Lanzhou,14100.0,0.0,2093,,2023-01-28
Northwest China,Xinjiang,Urumqi,14200.0,0.0,2108,,2023-01-28
South China,Fujian,FUzhou,13600.0,0.0,2019,,2023-01-28
South China,Guangdong,Zhanjiang,13600.0,0.0,2019,,2023-01-28
South China,Guangdong,Huangpu,13600.0,0.0,2019,,2023-01-28
South China,Guangxi,Fangcheng,13600.0,0.0,2019,,2023-01-28
South China,Guangxi,Nanning,13600.0,0.0,2019,,2023-01-28
Southwest China,Sichuan,Chengdu,13700.0,0.0,2034,,2023-01-28
Southwest China,Yunnan,Kunming,14100.0,0.0,2093,,2023-01-28
Northeast China,Heilongjiang,Harbin,13900.0,0.0,2064,,2023-01-29
Northeast China,Jilin,Changchun,13850.0,0.0,2056,,2023-01-29
Northeast China,Liaoning,Shengyang,13800.0,0.0,2049,,2023-01-29
Northeast China,Liaoning,Dalian,13700.0,0.0,2034,,2023-01-29
North China,Hebei,Shijiazhuang,13800.0,0.0,2049,,2023-01-29
North China,Henan,Zhengzhou,13600.0,0.0,2019,,2023-01-29
North China,Shandong,Qingdao,13600.0,0.0,2019,,2023-01-29
North China,Tianjin,Tianjin,13800.0,0.0,2049,,2023-01-29
Central China,Hubei,Wuhan,13600.0,0.0,2019,,2023-01-29
Central China,Jiangxi,Nanchang,13600.0,0.0,2019,,2023-01-29
East China,Anhui,Hefei,13600.0,0.0,2019,,2023-01-29
East China,Jiangsu,Nanjing,13600.0,0.0,2019,,2023-01-29
East China,Shanghai,Shanghai,13600.0,0.0,2019,,2023-01-29
East China,Zhejiang,Ningbo,13600.0,0.0,2019,,2023-01-29
Northwest China,Gansu,Lanzhou,14100.0,0.0,2093,,2023-01-29
Northwest China,Xinjiang,Urumqi,14200.0,0.0,2108,,2023-01-29
South China,Fujian,FUzhou,13600.0,0.0,2019,,2023-01-29
South China,Guangdong,Zhanjiang,13600.0,0.0,2019,,2023-01-29
South China,Guangdong,Huangpu,13600.0,0.0,2019,,2023-01-29
South China,Guangxi,Fangcheng,13600.0,0.0,2019,,2023-01-29
South China,Guangxi,Nanning,13600.0,0.0,2019,,2023-01-29
Southwest China,Sichuan,Chengdu,13700.0,0.0,2034,,2023-01-29
Southwest China,Yunnan,Kunming,14100.0,0.0,2093,,2023-01-29
Northeast China,Heilongjiang,Harbin,13900.0,0.0,2057,,2023-01-30
Northeast China,Jilin,Changchun,13850.0,0.0,2049,,2023-01-30
Northeast China,Liaoning,Shengyang,13800.0,0.0,2042,,2023-01-30
Northeast China,Liaoning,Dalian,13700.0,0.0,2027,,2023-01-30
North China,Hebei,Shijiazhuang,13800.0,0.0,2042,,2023-01-30
North China,Henan,Zhengzhou,13600.0,0.0,2012,,2023-01-30
North China,Shandong,Qingdao,13600.0,0.0,2012,,2023-01-30
North China,Tianjin,Tianjin,13800.0,0.0,2042,,2023-01-30
Central China,Hubei,Wuhan,13600.0,0.0,2012,,2023-01-30
Central China,Jiangxi,Nanchang,13600.0,0.0,2012,,2023-01-30
East China,Anhui,Hefei,13600.0,0.0,2012,,2023-01-30
East China,Jiangsu,Nanjing,13600.0,0.0,2012,,2023-01-30
East China,Shanghai,Shanghai,13600.0,0.0,2012,,2023-01-30
East China,Zhejiang,Ningbo,13600.0,0.0,2012,,2023-01-30
Northwest China,Gansu,Lanzhou,14100.0,0.0,2086,,2023-01-30
Northwest China,Xinjiang,Urumqi,14200.0,0.0,2101,,2023-01-30
South China,Fujian,FUzhou,13600.0,0.0,2012,,2023-01-30
